SNname,Type,source,E(B-V) SF2011,finalmaxVjd,finalmaxVjderr,CfA VJD bootstrap,CfA VJD bootstrap error,CfA BJD bootstrap,CfA BJD error,CfA RJD bootstrap,CfA RJD error,CfA IJD bootstrap,CfA IJD error,D11Vmaxdate,D11Vmaxdateerr,MaxVdate,MaxVJD,Vmax_CfAmethod,Vmax_CfAmethod_err,MaxVMag,MaxVmagerr,luminosity distance Mpc,comment
sn2010ah,Ib,lit,0.0099,-,1.85,-,0,<0000000,<0000000,2455264.06,0.22,<0000000,<0000000,,,<0000000,-,-,-,18.52,,218,PTF10bvz
sn2010as,IIb,lit,0.1469,2455289.61,,2455289.61,0.09,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<0000000,-,15.66,0.02,15.67,0.02,27.383,
sn2010bh,Ic-bl,,0.1004,2455282.08,0.19,2455282.08,0.19,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<0000000,<000000,19.79,0.19,19.79,0.19,254,
sn2010cn,Ic,lit,0.0409,2455331.36,0.43,2455331.36,0.43,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<0000000,-,17.5,0.2,17.5,0.2,120,
sn2010S,Ic,lit,,,,2455232.6,0.34,,,,,,,,,,,,,,,,
sn2011am,Ib,lit,0.1142,2455636.55,0.58,2455636.55,0.58,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<0000000,-,15.64,0.09,15.64,0.09,29,
sn2011bm,Ic,,0.0285,2455679.22,1.58,2455679.22,1.58,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<0000000,-,17.08,0.05,17.08,0.05,126.229,using distance from V12
sn2011dh,IIb,,0.0309,,,<0000000,,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<0000000,2455733.06,-,-,<17.52,,10.6,
sn2011ei,IIb,,0.0505,,,2455787.23,0.02,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<0000000,-,17.02,0.03,17.02,0.03,28.5,
sn2011fu,IIb,,0.0648,2455847.55,0.07,2455847.55,0.07,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<0000000,-,16.92,0.01,16.92,0.01,74.9,using Virgo + Gal infall 
sn2011hg,IIb,lit,0.0642,2455878.89,0.58,2455878.89,0.58,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<0000000,-,18.23,0.16,18.23,0.16,106,
sn2011hs,IIb,,0.0104,2455889.18,0.29,2455889.18,0.29,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<0000000,-,15.82,0.02,15.82,0.02,21.26,
sn2011hw,Ib-n,lit,,,,,,55903.33,0.85,55904.24,0.16,,,,,,,,,,,,
sn2012bz,IIb,,0.0303,,,,,<0000000,<0000000,56056.81,0.7,<0000000,<0000000,,,<0000000,,,-,,,1500,
sn2012cd,IIb,lit,,,,,,,,2456036.1,1.08,,,,,,,,,,,,
sn2012hn,Ic-Ca-rich,lit,,,,2456032.91,0.46,,,,,,,,,,,,,,,,
sn2012P,IIb,lit,,,,,,2455951.59,1,2455951.38,1.06,,,,,,,,,,,,
sn2013ak,IIb,lit,,,,2456369.15,0.2,,,,,,,,,,,,,,,,
sn2013cq,Ic-bl,,0.0174,,,2456433.5,1.5,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<0000000,,20.86,0.12,20.86,0.12,1733.67,
sn2013df,IIb,lit,0.0168,2456470.01,0.18,2456470.01,0.18,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<0000000,-,14.53,0.03,14.53,0.03,10.59,
sn2013dx,IIb,,0.036,,,<0000000,,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<0000000,2456493.503,19.83,0.16,19.83,0.16,14.54,V max mag and epoch derived from r' band
sn2013ge,Ic,lit,0.0198,2456621.43,0.2,2456621.43,0.2,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<0000000,-,14.82,0.06,14.82,0.06,19.34,
sn2014C,Ib,lit,0.0782,2456671.19,0.1,2456671.19,0.1,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<0000000,-,14.91,0.07,14.91,0.07,12.07,
sn2015U,Ib-n,lit MISSING OPT,,,,2457071.39,0.24,,,,,,,,,,,,,,,,
ASASSN-14dq,IIb,lit,,,,2456852.79,0.32,,,,,,,,,,,,,,,,
OGLE-2013-SN-091,Ic,lit,,,,,,,,,,2456581.15,2.05,,,,,,,,,,
OGLE-2013-SN-134,Ic??bl??,lit,,,,,,,,,,2456581.15,2.05,,,,,,,,,,
OGLE-2014-SN-014,Ib,lit,,,,,,,,,,2456700.45,1.91,,,,,,,,,,
OGLE15rb,Ic,lit,,,,,,,,,,2457344.13,0.61,,,,,,,,,,
OGLE15vk,Ic,lit,,,,,,,,,,2457360.46,0.87,,,,,,,,,,
OGLE15xx,Ic??,lit,,,,,,,,,,2457409.42,0.25,,,,,,,,,,
PTF11kmb,Ib,lit,,,,,,,,2455801.24,0.15,,,,,,,,,,,,
PTF11qcj,Ic-BL,lit,,,,,,,,2455843.84,1.72,,,,,,,,,,,,
SDSS-II14475,Ic-bl,lit,,,,,,,,2454019.88,1.08,2454025.29,0.12,,,,,,,,,,
SDSS-II19065,Ibc,lit,,,,,,,,2454395.97,1.03,2454396.05,1.53,,,,,,,,,,
SDSS-II19190,Ibc?,lit,,,,,,,,2454411.81,3.99,2454420.86,2.8,,,,,,,,,,
SDSS-II4664,Ibc,lit,,,,,,,,2453673.47,1.65,2453677.92,0.95,,,,,,,,,,
SDSS-II5339,Ibc,lit,,,,,,,,2453655.57,0.18,2453653.79,0.19,,,,,,,,,,
SDSS-II6520,Ibc,lit,,,,,,,,2453690.18,0.61,2453690.59,0.7,,,,,,,,,,
SDSS-II6861,Ibc?,lit,,,,,,,,2453677.32,0.84,2453674.17,0.77,,,,,,,,,,
SDSS-II8196,Ibc,lit,,,,,,,,2453682.27,1.64,2453683.3,1.99,,,,,,,,,,
SN1991N,Ic,lit,,,,2448348.95,2,,,,,,,,,,,,,,,,
SN2001ig,IIb,lit,,,,,,,,2452274.9,6.27,,,,,,,,,,,,
SN2002jj,Ib,lit,,,,,,,,2452621.89,0.31,,,,,,,,,,,,
